track_id,track_name,artist_name,artist_id,release_date,album_type,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1XWcdNQvGrX32fH09CwuWI,100it Racks,"['Future', '2 Chainz', 'Drake']","['1RyvyyTE3xzB2ZywiAwp0i', '17lzZA2AlOHwCwFALHttmp', '3TVXtAsR1Inumwj472S9r4']",2016-10-13,compilation,54,0.82,0.599,10,-9.796,0,0.141,0.226,0.0489,0.105,0.356,137.022,265038,4
5bFxAxt4fqX7efch5xZ1Hg,Too Much Sauce,"['Future', 'Lil Uzi Vert']","['1RyvyyTE3xzB2ZywiAwp0i', '4O15NlyKLIASxsJ0PrXPfz']",2016-10-13,compilation,46,0.939,0.527,6,-7.49,0,0.107,0.0562,0.0,0.144,0.206,120.982,218044,4
72LlwJM24dWKpFLVB3PWWQ,Sold Out Dates (feat. Lil Baby),"['Gunna', 'Lil Baby']","['2hlmm7s2ICUX0LVIhVFlZQ', '5f7VJjfbwm532GiveGC0ZK']",2018-04-16,single,3,0.824,0.554,4,-7.118,0,0.115,0.433,0.0,0.124,0.316,127.003,166298,4
27a1mYSG5tYg7dmEjWBcmL,CAN'T SAY,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2018-08-03,album,77,0.702,0.708,10,-5.366,0,0.0547,0.201,0.0,0.118,0.713,147.98,198408,4
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2018-08-03,album,86,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,312820,4
3tkFCUaISwablf9MJydsuB,Lesbian (feat. Gunna & Young Thug),"['Metro Boomin', 'Gunna', 'Young Thug']","['0iEtIxbK0KxaSlF7G42ZOp', '2hlmm7s2ICUX0LVIhVFlZQ', '50co4Is1HCEo8bhOyUWKpn']",2018-11-02,album,0,0.8,0.406,6,-8.892,0,0.268,0.636,0.0,0.109,0.274,120.999,206813,4
5gub2bpJRgJP4m4MliqtdV,Space Cadet (feat. Gunna),"['Metro Boomin', 'Gunna']","['0iEtIxbK0KxaSlF7G42ZOp', '2hlmm7s2ICUX0LVIhVFlZQ']",2018-11-02,album,6,0.901,0.464,5,-9.789,0,0.0645,0.368,1.71e-05,0.238,0.638,109.004,203267,4
6OaVWaGfhXn70ZJfdVcabn,NO BYSTANDERS,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2018-08-03,album,74,0.731,0.811,1,-3.225,1,0.0712,0.0204,0.0,0.411,0.426,147.045,218284,4
5u6vkDnOyaf8LsteDAj2ub,Ghostface Killers,"['21 Savage', 'Offset', 'Metro Boomin', 'Travis Scott']","['1URnnhqYAYcrqrcwql10ft', '4DdkRBBYG6Yk9Ka8tdJ9BW', '0iEtIxbK0KxaSlF7G42ZOp', '0Y5tJX1MQlPlqiwlOH1tJY']",2017-10-30,album,72,0.782,0.436,2,-7.033,1,0.155,0.331,1.3e-05,0.342,0.243,82.994,268933,4
6eYxmK9fdL4hwLnXG2zY3s,Look At Me!,['XXXTENTACION'],['15UsOTVnJzReFVN1VCnxy4'],2017-05-16,compilation,68,0.763,0.726,1,-6.405,1,0.282,0.259,0.0,0.0976,0.349,139.059,126346,4
2gQYziDV5cSTRSqr6akzi5,Take A Step Back,"['Ski Mask The Slump God', 'XXXTENTACION']","['2rhFzFmezpnW82MNqEKVry', '15UsOTVnJzReFVN1VCnxy4']",2018-02-02,album,73,0.802,0.59,6,-8.81,1,0.273,0.109,0.0,0.429,0.747,117.007,210387,4
5hgV20vlhTYssC1lV23QTm,At the Door,['Lil Pump'],['3wyVrVrFCkukjdVIdirGVY'],2017-10-06,album,46,0.917,0.569,7,-8.543,1,0.159,0.0513,0.0,0.085,0.43,140.07,123429,4
4rgwri7LajWVZvdj2N81SS,Catch Me Outside,['Ski Mask The Slump God'],['2rhFzFmezpnW82MNqEKVry'],2018-02-02,album,71,0.943,0.677,7,-6.033,1,0.246,0.165,0.0,0.327,0.615,112.001,145760,4
3hWUIMNBwLNug1O8o2PPRW,Too Hotty,"['Quality Control', 'Migos', 'Eurielle']","['6i392l38cR3uBPF0DbNs7S', '6oMuImdp5ZcFhWP0ESe6mG', '7F1l2kTBvOPGd8sF8nBEtv']",2017-12-08,album,60,0.889,0.398,1,-7.184,1,0.204,0.193,0.0,0.104,0.158,129.993,295997,4
59XHPyb0MTMElZpkG0Wp69,Change Lanes,['Kevin Gates'],['1gPhS1zisyXr5dHTYZyiMe'],2018-05-16,single,59,0.706,0.783,2,-5.337,1,0.424,0.129,0.0,0.0952,0.513,130.195,205861,4
3C4FUqrrjuvWoHwsumWfIu,Cruise Ship,['Young Thug'],['50co4Is1HCEo8bhOyUWKpn'],2017-10-20,album,53,0.793,0.742,0,-6.185,1,0.21,0.0107,0.0,0.119,0.21,150.076,166467,4
1RxR1IwTzgPlBcLn61LT1u,Colossal,['Future'],['1RyvyyTE3xzB2ZywiAwp0i'],2015-07-17,album,47,0.769,0.534,4,-6.502,0,0.0478,0.584,0.0,0.138,0.123,130.022,183760,4
3wdfLVUhmX64lIyWIIEW8s,Ice Tray,"['Quality Control', 'Quavo', 'Lil Yachty']","['6i392l38cR3uBPF0DbNs7S', '0VRj0yCOv2FXJNP47XQnx5', '6icQOAFXDZKsumw3YXyusw']",2017-12-08,album,64,0.89,0.504,8,-5.444,0,0.123,0.023,0.0,0.123,0.222,129.969,213613,4
49K3jbwZmZKaDGTfjpIVg0,My Dawg,"['Quality Control', 'Lil Baby', 'Kodak Black', 'Quavo', 'Moneybagg Yo']","['6i392l38cR3uBPF0DbNs7S', '5f7VJjfbwm532GiveGC0ZK', '46SHBwWsqBkxI7EeeBEQG7', '0VRj0yCOv2FXJNP47XQnx5', '3tJoFztHeIJkJWMrx0td2f']",2017-12-08,album,59,0.911,0.637,1,-7.252,1,0.112,0.0259,0.0,0.104,0.615,133.037,317701,4
2AGottAzfC8bHzF7kEJ3Wa,Diamonds Dancing,"['Drake', 'Future']","['3TVXtAsR1Inumwj472S9r4', '1RyvyyTE3xzB2ZywiAwp0i']",2015-09-20,album,60,0.467,0.358,1,-10.847,1,0.0497,0.125,3.73e-05,0.111,0.166,136.02,314632,4
