artist_id,artist_genre,artist_follower_count
5ttgIeUVka6FLyi00Uu5h8,"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap', 'house']",325977
0XW7mqhbaQnRtHmwfAVg64,"['brostep', 'electro house', 'electronic trap', 'zapstep']",37132
0jNDKefhfSbLR9sFvcPLHo,"['edm', 'electro house', 'electronic trap', 'electropop', 'pop edm', 'vapor twitch']",550744
2o5jDhtHVPhrJdv3cEQ99Z,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'trance', 'tropical house']",4935665
548YUkLaLzti0BLqaWpn1W,"['bass house', 'brostep', 'electro house', 'electronic trap']",43906
5TgQ66WuWkoQ2xYxaSTnVP,"['belgian edm', 'drum and bass', 'liquid funk']",357513
6EqFMCnVGBRNmwPlk2f3Uc,"['bass house', 'brostep', 'deep groove house', 'edm', 'electro house', 'electronic trap', 'fidget house', 'house']",58603
7tm9Tuc70geXOOyKhtZHIj,"['bass house', 'deep groove house', 'electro house', 'house']",41699
7zm3aSdmGiOkTt0aZFSO8R,"['bass house', 'brostep', 'deep groove house', 'electro house', 'electronic trap', 'house']",35908
4dvZ0abeUaiHm7Fu9Gj0PQ,"['bass trap', 'brostep', 'catstep', 'complextro', 'edm', 'electro house', 'electronic trap', 'filthstep', 'zapstep']",147743
6Vh6UDWfu9PUSXSzAaB3CW,"['grime', 'hip house', 'house', 'tropical house', 'uk dance']",242883
7w1eTNePApzDk8XtgykCPS,"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap', 'house']",144422
0deIjoDjl9g9Zpw0sCIOHh,"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap', 'house', 'moombahton']",163085
67qogtRNI0GjUr8PlaG6Zh,"['brostep', 'canadian electronic', 'edm', 'electro house', 'electronic trap', 'progressive electro house']",431556
09GJU4jF4zhNfN72mTyMCi,"['bass trap', 'catstep', 'danish electronic', 'electro house', 'electronic trap']",8293
540vIaP2JwjQb9dm3aArA4,"['dance pop', 'edm', 'electronic trap', 'pop']",6696506
76TM3QXivQvlLmZxdYxMZr,"['bubble trance', 'bubblegum dance', 'eurodance', 'europop', 'german techno', 'hip house']",22199
5he5w2lnU9x7JFhnwcekXX,"['brostep', 'complextro', 'edm', 'electro', 'electro house']",7477047
1YYJxpOXYk1z1WtqdeLMkn,"['bass house', 'brostep', 'catstep', 'complextro', 'edm', 'electro house', 'electronic trap', 'filthstep', 'zapstep']",73367
3EXfNuPuR3OFEdlyoSutcG,"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap', 'zapstep']",56127
26RHyTSsP5JoS4udf8txU5,"['brostep', 'electronic trap']",24471
2sfSQ1BOzaFQa3LZj6OGwD,"['electronic trap', 'vapor twitch']",25175
6nS5roXSAGhTGr34W6n7Et,"['house', 'pop', 'tropical house', 'uk dance']",1724857
14L5rpGTLVUz1pD8fUeJB1,['lilith'],127328
6nxWCVXbOlEVRexSbLsTer,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']",1974123
5eIbEEQnDM8yuDVB0bimSP,"['bass trap', 'brostep', 'edm', 'electro house', 'electronic trap']",320671
47z7ZrgFoBvVpCnElCE3Zh,"['bass trap', 'brostep', 'edm', 'electro house', 'electronic trap']",882416
1hHN9TYGRCKPJEX0I2CE0v,['polish post-rock'],996
4AA8eXtzqh5ykxtafLaPOi,"['aussietronica', 'brostep', 'edm', 'electro house', 'electronic trap', 'escape room', 'indietronica', 'vapor soul', 'vapor twitch']",253907
5l9wiTZVfqQTfMDOt0HtwC,"['alternative dance', 'canadian electronic', 'dance-punk', 'electroclash', 'electronica', 'filter house', 'minimal techno', 'new rave', 'tech house']",83116
0ONHkAv9pCAFxb0zJwDNTy,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",1604194
20DZAfCuP1TKZl5KcY7z3Q,"['brostep', 'edm', 'electro house', 'electronic trap', 'pop edm']",199270
2u01kCKA5wDvvztuH8lyT0,"['brostep', 'deathstep', 'edm', 'electro house', 'electronic trap']",75012
57LYzLEk2LcFghVwuWbcuS,['pop'],1031515
4ClziihVpBeFXNyDH83Lde,"['alternative r&b', 'bedroom soul', 'indie r&b', 'pop']",216015
2h93pZq0e7k5yf4dywlkpM,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",5452514
74V3dE1a51skRkdII8y2C6,"['atl hip hop', 'dirty south rap', 'southern hip hop']",150785
2joIhhX3Feq47H4QXVDOr3,"['australian r&b', 'bedroom soul', 'indie r&b', 'pop']",102644
3eCd0TZrBPm2n9cDG6yWfF,"['k-pop', 'korean r&b']",766163
2FwDTncULUnmANIh7qKa5z,"['filter house', 'indie soul']",682649
5rBFU1rhgs1nNghopuj9k8,"['alternative r&b', 'experimental hip hop']",18899
1vct46rBqLNRbE9wCibXUH,"['k-hop', 'k-indie', 'korean pop', 'korean r&b']",83865
0dTj3SqwE8kPnCzyzvYzhT,"['k-indie', 'korean r&b']",150913
3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",45646939
5WQxQAu4xmUwCzxPw3GiB4,"['alternative r&b', 'trap soul']",61393
3KV3p5EY4AvKxOlhGHORLg,"['chicago rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",4159779
2HPaUgqeutzr3jx5a9WyDV,"['hip hop', 'pop', 'pop rap', 'rap', 'toronto rap', 'trap', 'urban contemporary']",2247287
3TivtPfIkv4Q5m2eoT60cW,[],387
1W7FNibLa0O0b572tB2w7t,"['alternative r&b', 'bedroom soul', 'indie r&b', 'pop']",252499
5ZS223C6JyBfXasXxrRqOk,"['alternative r&b', 'pop', 'r&b']",3007989
3Y7RZ31TRPVadSFVy1o8os,"['pop', 'r&b']",2313093
3tlXnStJ1fFhdScmQeLpuG,"['alternative r&b', 'dmv rap', 'rap']",554922
0cIbGrllcQSKTM3AxUxHiL,[],48105
6XNG2G52nQtVPA3ebHTtlp,"['cali rap', 'social media pop']",12081
5TbLOwv8BNnik3f03NZJlt,['meme rap'],97289
15UsOTVnJzReFVN1VCnxy4,"['emo rap', 'miami hip hop']",18717896
2rhFzFmezpnW82MNqEKVry,"['miami hip hop', 'rap', 'trap', 'underground hip hop']",3136018
2IDLDx25HU1nQMKde4n61a,['indonesian hip hop'],1411055
6f9bmfkqiYbhCtdAZsv7KI,"['korean trap', 'underground hip hop']",248732
2OaHYHb2XcFPvqL3VsyPzU,"['dmv rap', 'escape room', 'pop rap', 'trap queen']",369215
5bCwYvvFvWOEXtO9W7p0Iv,"['dark trap', 'emo rap', 'underground hip hop', 'vapor trap']",127096
6HhsbprrJmKeaH8SgSlGge,[],8391
0zPILh9oEH0fDagpkHTQQ8,"['dark trap', 'emo rap', 'underground hip hop']",189418
6Xgp2XMz1fhVYe7i6yNAax,"['melodic rap', 'rap', 'trap']",4419223
2P5sC9cVZDToPxyomzF1UH,"['conscious hip hop', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",1665754
6kYViCeiqcUZXgPVdCIKBi,[],37319
57SA5Qv24Vydwd6bJnV8fI,"['dark trap', 'underground hip hop', 'vapor trap']",161284
0O1cTzccAEKaEFShgzAK9V,"['dark trap', 'miami hip hop', 'underground hip hop', 'vapor trap']",95825
1tG7s7S4sq2eFFW0QZyLbm,['nyc rap'],52996
0eDvMgVFoNV3TpwtrVCoTj,"['rap', 'trap']",362526
7e10JUMF7MJmmwYpnTSMI5,"['gangster rap', 'harlem hip hop', 'hip hop', 'nyc rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",441086
4OBJLual30L7gRl5UkeRcT,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",3213203
0NbfKEOTQCcwd6o7wSDOHI,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2491184
3q7HBObVc0L8jNeTe5Gofh,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",5925615
13ubrt8QOOCPljQ2FL1Kca,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",6692285
34Y0ldeyUv7jBvukWOGASO,"['nyc rap', 'trap']",895059
5dHt1vcEm9qb8fCyLcB3HL,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",2342242
6vXTefBL93Dj5IqAWq6OTv,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",3386280
0I5HubncQ8E1MFZOlPDY4J,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",234118
5IcR3N7QB1j6KBL8eImZ8m,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",3028209
137W8MRPWKqSmrBGDBFSop,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",8913259
1je11NKORfLMSjgSNP0DPF,['melodic rap'],66747
20f082mpijx900V6pFo7Gu,[],812
6FheakPfcCNN0NeROtOKeQ,[],11270
1Oa0bMld0A3u5OTYfMzp5h,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",802390
0AuLah9u0wmQVllDzPjq8a,[],4117
4JhbRL6zaItAyzqx4gHTqz,['nyc rap'],45410
2eqoJbzUGDwys5ENUkbT3h,[],88106
3wcj11K77LjEY1PkEazffa,"['afro dancehall', 'dancehall', 'nigerian hip hop', 'nigerian pop']",397831
22099GssG7Ood0d5UIh2wo,"['dancehall', 'reggae fusion']",85621
0xMFjTpcN1zaf1ZU5NaNmk,"['chutney', 'dancehall', 'soca']",18228
6eECKqQYMlTtRHFGP1VFBu,['soca'],2333
5AVAzwpIu9f3H1oegupPCd,['soca'],2063
3cb9sULs9n1DMoBDQ7YaEC,[],136
7DjHO7cJNhHO5xTaXwgi7w,[],143
4FqeF4EINBD7lE3ulmExh2,[],112
04pf773tnBOux7gJaH108H,"['african percussion', 'dancehall', 'soca']",8955
4mk1ScvOUkuQzzCZpT6bc0,[],243
7E6r9S8qCRfZVCjF1A8do6,"['chutney', 'dancehall', 'melbourne indie', 'soca']",16670
1yzePBgnaJhaFDpgt7MpxA,"['chutney', 'dancehall', 'soca']",15564
6wxP7SSzfvi21Cnl8JicdQ,"['chutney', 'dancehall', 'soca']",83546
5DRRGfWRlQ2CIZQUHuPMEj,['soca'],1037
4uhgPJ7TDQ1goqaXlZM9oY,[],10207
1K23l3n63BTCtIMm0TyS4c,"['dancehall', 'soca']",10431
