track_id,track_name,artist_name,artist_id,release_date,album_type,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0sR0deixp6xTZ5Yx9g0pr0,Release Me,['Miette Hope'],['4K61UysqQc1VRj8VsY76Qw'],2018-06-22,single,34,0.517,0.48,11,-7.944,0,0.0425,0.683,0.0,0.076,0.539,134.012,212236,4
0doiRAg2YNQvamY6oMPwkw,Dancing in the Street,['Stephen Day'],['4cnFw4bkIWVGKUBsr93OS5'],2018-04-27,single,4,0.632,0.677,11,-8.105,1,0.0911,0.263,1.03e-05,0.0977,0.512,119.763,199027,4
0NuIfPuBhUAt4aA4HP0rUu,You Seemed so Happy,['The Japanese House'],['3IunaFjvNKj98JW89JYv9u'],2019-03-01,album,53,0.519,0.888,11,-6.232,1,0.117,0.0406,0.0,0.227,0.416,149.938,162486,4
5EXD5rXJ4IVb8g4xSwT0fc,If You Were the Rain,['Stephen Day'],['4cnFw4bkIWVGKUBsr93OS5'],2016-04-08,single,47,0.481,0.412,9,-8.413,1,0.0401,0.611,5.91e-05,0.0998,0.326,84.358,220588,4
68ViVsxqymVrKMnAbVsEhU,Talking Slow,['Dylan Jordan'],['0vQwQkQbLxrapE7TG9o5SB'],2018-12-12,single,48,0.501,0.533,2,-10.11,1,0.0379,0.202,0.00206,0.113,0.151,138.92,259640,4
1dA1tlzwcJ3YDYsSul1m06,Jenga (feat. Gaeko),"['HEIZE', 'Gaeko']","['5dCvSnVduaFleCnyy98JMo', '0tkHE1pQ5ZCgQb8WZ0ba79']",2018-03-08,single,52,0.711,0.73,1,-4.979,0,0.0436,0.269,2.34e-06,0.109,0.604,93.015,210158,4
4Kku6CJWJLN1eYJSEdxk0J,What You Came Here For,"['Jae Luna', 'Olivia Reid']","['0z1uYQ5NabhwzkRMHfUipU', '570A6QXjRBWJHPM3LrDjg1']",2019-08-09,single,37,0.428,0.421,0,-9.655,0,0.159,0.822,0.00099,0.109,0.136,139.453,214857,4
6DwiGVCgXGREeCyJZtX7S1,Cold War,['Cautious Clay'],['6iWuBN32BqCJAeXW6o3nil'],2018-02-21,album,68,0.654,0.47,1,-10.383,0,0.0586,0.274,0.249,0.103,0.462,77.083,202597,4
5k1GDTtLb52VPdf2xGwxz7,Lemonade,['Iris Temple'],['1ti0u37FfK0AO8cM2n7Ncr'],2016-12-01,single,46,0.559,0.298,2,-12.918,1,0.173,0.682,0.000457,0.128,0.434,118.576,240000,4
5V1CiQCL2IkCt0OvrCMLwp,mime,['Isaac Dunbar'],['2sBVpvpeQxK01FqIt5t816'],2019-01-29,single,0,0.619,0.418,11,-8.439,1,0.0324,0.439,0.0,0.206,0.493,94.409,188320,3
5LyuIwwjlluDlk7Idjny7t,SOMETHING FOR NOTHING,['Cautious Clay'],['6iWuBN32BqCJAeXW6o3nil'],2019-03-27,single,39,0.425,0.402,2,-8.581,1,0.0418,0.233,8.55e-06,0.113,0.15,166.813,166707,4
5BFmKRDd5AfV2mKvNSxyRG,PATTERNS,"['NASAYA', 'Sara Diamond']","['5932gYdqLCu1ftKVXf1PO4', '4azg4dtpH6PiewGHFzQEj0']",2019-05-08,single,46,0.603,0.582,10,-5.635,0,0.156,0.819,0.0106,0.265,0.531,90.009,228571,4
2WWvPwXCx4CbydAK9HL5Ne,Yellow,['Myles Cameron'],['2B2dZ6tZkA7MAHcPaHw1wF'],2019-02-05,single,45,0.528,0.387,7,-10.696,1,0.0368,0.764,0.345,0.153,0.129,147.926,223378,4
4dj5RTVztRLROh8hJi8uHl,whelmed,['emawk'],['2zAshenjqDlcL4pudfySBY'],2019-07-25,single,38,0.707,0.328,5,-12.399,0,0.0716,0.556,0.00318,0.298,0.499,140.051,248670,4
297rZsBEjFw9d0Gl3iBLnd,Goodie Bag,['Still Woozy'],['4iMO20EPodreIaEl8qW66y'],2017-11-05,single,22,0.701,0.529,7,-12.242,0,0.147,0.82,0.00113,0.249,0.577,138.216,146390,4
58wjlIN5lb50IFufJkaJNE,double take,['dhruv'],['70NcAr4ZtA3FAqU16iQZSb'],2019-05-24,single,45,0.662,0.435,8,-11.173,1,0.0728,0.831,0.0,0.249,0.24,109.065,171743,4
6ES1G1anjmjDdQsPzlFaXz,Calypso,['Jackson Lundy'],['4OJCbpgLBwFKH3kvlvylUn'],2017-03-17,single,48,0.603,0.374,8,-13.626,1,0.202,0.872,0.000981,0.107,0.242,84.294,244460,4
0mYslGmbnkbxuyr0ISIYtB,Lucky,['Choker'],['5XQRfs0gXs30aWUn1Umves'],2019-02-08,single,63,0.477,0.328,4,-8.458,1,0.0658,0.906,7.36e-06,0.262,0.283,174.143,251034,4
7sJwGtoWgkVRwzujlyT3cp,Sims,['Lauv'],['5JZ7CnR6gTvEMKX4g70Amv'],2019-10-03,single,31,0.529,0.398,2,-8.238,1,0.388,0.643,0.0,0.0637,0.567,99.714,155075,4
6XhrD1eH9u0SyQExzk0aZa,Mama,['Bobby Freemont'],['52vZqisxn7wkDk6sZe8jkD'],2019-08-01,single,10,0.793,0.272,3,-10.055,1,0.0796,0.632,0.000389,0.0843,0.441,140.04,198857,4
1c57sAKlEMZyDXE89RgUWz,Someday,['Peach Tree Rascals'],['0imE3buPhAowREqCrr4CYe'],2018-11-08,single,42,0.494,0.344,2,-9.379,1,0.0532,0.691,0.112,0.126,0.329,113.822,354873,3
7Esrr3lXpwFDCc7SjKohB6,Ford Cardinal,['Halima'],['3bSZmhmZ0bWMkMl37DK5ap'],2019-08-30,single,48,0.674,0.692,4,-7.153,0,0.373,0.491,0.0,0.223,0.733,119.649,222896,4
5ykRjaa8654N86714kt0UY,Van Gogh,['Irie Lee'],['66HtM6fwEJMF3feEXxCpnx'],2018-12-08,album,6,0.598,0.667,3,-8.543,0,0.335,0.538,0.0,0.13,0.545,77.845,187768,4
0zegt6P4a7tnfpqJ76IQea,Makeup,['Brandon'],['08HpiyWkp2Z7gFTkVae265'],2019-03-15,single,1,0.469,0.21,7,-9.321,1,0.0433,0.774,1.08e-06,0.152,0.379,170.459,294438,4
0MuaRi77N4gPEfVkuooxqS,Later,['emawk'],['2zAshenjqDlcL4pudfySBY'],2019-02-19,single,49,0.449,0.247,1,-10.842,1,0.0679,0.814,0.131,0.0872,0.176,62.099,270709,4
63vGmudvhJ6IcUXd44AQII,August 5th,['Baby Rose'],['6Z4JcgqrqgysyHIPRtDIHo'],2019-11-13,single,39,0.611,0.669,10,-7.143,1,0.0517,0.39,0.0133,0.148,0.393,129.955,214000,4
1Aoq7naEmoe6NguRjxgQ8a,All in on You,['Eventide'],['2LXD6fOM8RRfhmF3duZqnV'],2019-11-08,single,17,0.603,0.498,7,-9.038,0,0.267,0.455,0.00503,0.212,0.606,80.067,199500,4
6KSVNUSH6RmuQtFvIPh1yl,Warmer,['Adam Yaron'],['3OGYb4zrAuI1f9h5HBkEnL'],2019-08-08,single,31,0.759,0.478,3,-6.202,1,0.0296,0.437,0.0,0.0798,0.767,99.082,210606,4
6GijrCnVsghoXzLOt2elDw,bayridge,['emawk'],['2zAshenjqDlcL4pudfySBY'],2019-07-25,single,39,0.707,0.579,4,-8.413,0,0.0771,0.194,0.00107,0.133,0.897,80.064,206061,4
1yTzV5hu76CuDGwIVHoFbL,Tha Steeze,"['Hard Car Kids', 'Charlie Burg', 'J.Robb', 'Stoop Lee', 'Jacob Sigman', 'Munch']","['6oLj5SonG9BHYVJurbEri8', '0ubGY2CcC0tvR0eE6hJaT8', '2DfpfU9DpRLC3EuWLKyy4m', '5bk1VVOTnbEcJh0e8Py4WX', '440z47zS9yg3nUTHeVHLnT', '3ViaDDQ7Y8wF8NffNOnOD4']",2019-07-19,single,30,0.627,0.493,7,-12.478,1,0.323,0.525,2.18e-06,0.731,0.645,77.117,188421,4
0HsOYWotxwbZbR8LXy3867,Your Way,"['Rexx Life Raj', 'Kehlani']","['5rDXcEIODl8TgGTgrntnjX', '0cGUm45nv7Z6M6qdXYQGTX']",2019-10-29,single,46,0.718,0.328,3,-10.958,0,0.0302,0.63,0.0,0.105,0.72,99.966,218909,4
7MUw0YKvIsT1VX8sCXNa5l,Hotel Room,['Ponyboy FTO'],['4MLRqPe5pMdac459KVAFBH'],2020-01-30,single,25,0.789,0.522,1,-9.474,1,0.296,0.171,0.0,0.135,0.929,156.051,179125,4
3GMFVQZi6Mfo5NFvlrhvj4,Makeup,['Brandon'],['08HpiyWkp2Z7gFTkVae265'],2019-10-30,single,42,0.481,0.213,7,-9.277,1,0.0415,0.775,1.13e-06,0.147,0.355,85.033,294438,4
5xPQqkgku0YXQoR0oVqoPE,All Kinds of Things,['Jae Luna'],['0z1uYQ5NabhwzkRMHfUipU'],2020-02-19,single,31,0.675,0.448,4,-11.894,1,0.23,0.742,0.0,0.209,0.548,115.235,136957,4
0tLs0CFZU4gj7oe2xRcfWh,We Don't Mind,"['Elujay', 'Samaria', 'Caleborate']","['1CgbNAF3Stnz1Tpipu3xdO', '4FreKg40BVDMPRLGeubyku', '7bpDJUH5hnffIYHID6h3Et']",2016-07-19,single,13,0.561,0.647,11,-7.811,1,0.474,0.675,0.0,0.0953,0.252,82.877,211148,4
1ZEpge1j4gAi4R7pU9oor5,Sunny Duet (feat. the Mind),"['Noname', 'The Mind']","['1EpyA68dKpjf7jXmQL88Hy', '10V21ykJFLM14zMmdNawQG']",2016-08-12,album,51,0.56,0.463,7,-9.601,1,0.421,0.775,0.0,0.128,0.896,155.711,162490,4
32xx0fAv3CIeGmNaWTHvEF,Heebiejeebies - Bonus,"['Aminé', 'Kehlani']","['3Gm5F95VdRxW3mqCn8RPBJ', '0cGUm45nv7Z6M6qdXYQGTX']",2017-07-28,album,69,0.766,0.5,1,-7.626,1,0.152,0.419,0.0,0.108,0.495,107.045,220160,4
